Contrato,Idade,Sexo,Valor_Renda,UF_Cliente,Perc_Juros,Prazo_Emprestimo,Data_Contratacao,Prazo_Restante,VL_Emprestimo,VL_Emprestimo_ComJuros,QT_Total_Parcelas_Pagas,QT_Total_Parcelas_Pagas_EmDia,QT_Total_Parcelas_Pagas_EmAtraso,Qt_Renegociacao,Estado_Civil,Escolaridade,Possui_Patrimonio,VL_Patrimonio,QT_Parcelas_Atraso,QT_Dias_Atraso,Saldo_Devedor,Total_Pago,Possivel_Fraude
322076723715,35,M,4018.55,PR,20.0000,90,2022-09-09,91,50000.00,57500.00,14,8,0,0,CASADO (A),NULL,N,0.00,0,NULL,51089.20,9441.80,Nao
322076724715,72,F,4500.00,SP,22.0000,80,2022-09-09,68,30000.00,34500.00,6,5,0,1,SOLTEIRO(A),NULL,N,0.00,7,194,35333.79,1642.50,Sim
322076726715,24,F,3500.00,RJ,20.0000,200,2022-09-14,227,200000.00,230000.00,5,3,2,2,CASADO (A),NULL,N,0.00,9,284,238734.40,3565.15,Sim
322076727715,45,F,2700.00,DF,24.0000,20,2022-09-09,13,3500.00,4025.00,8,1,7,3,SOLTEIRO(A),NULL,N,0.00,4,103,2164.23,2427.48,Nao
322076728715,27,M,3000.00,BA,20.0000,200,2022-09-16,193,100000.00,115000.00,12,2,9,2,OUTRO,NULL,N,0.00,2,41,116782.47,4365.24,Nao
322076729715,32,M,2000.00,PA,20.0000,200,2022-09-09,193,100000.00,115000.00,1,1,0,1,SOLTEIRO(A),NULL,N,0.00,12,344,120815.20,355.00,Sim
322076731715,28,M,3500.00,RS,20.0000,200,2022-09-09,193,100000.00,115000.00,1,1,0,1,SOLTEIRO(A),NULL,N,0.00,13,376,120829.99,355.00,Sim
322076734715,51,M,1500.00,MG,24.0000,30,2022-09-13,18,7000.00,8050.00,14,8,1,7,CASADO (A),Ensino Médio,N,0.00,0,NULL,4665.16,4196.12,Nao
322076739715,53,M,5000.00,GO,16.0000,80,2022-09-12,74,80000.00,92000.00,6,2,1,2,SOLTEIRO(A),NULL,N,0.00,4,103,86771.15,7206.24,Nao
322076741715,42,M,3500.00,RJ,20.0000,200,2022-09-09,193,100000.00,115000.00,6,5,0,1,SOLTEIRO(A),Nenhum,N,0.00,8,225,119152.57,2251.98,Sim
322076744715,36,M,4500.00,MG,20.0000,200,2022-09-09,193,100000.00,115000.00,14,4,6,1,SOLTEIRO(A),Nenhum,N,0.00,0,NULL,116030.02,5315.30,Nao
322076746715,21,M,2900.00,RS,24.0000,36,2022-09-09,36,10000.00,11500.00,14,14,0,0,SOLTEIRO(A),NULL,N,0.00,0,NULL,7822.30,5024.29,Nao
322076747715,24,M,3500.00,GO,18.0000,100,2022-09-09,89,80000.00,92000.00,2,2,0,1,SOLTEIRO(A),NULL,N,0.00,12,344,94056.43,1504.00,Sim
322076749715,25,F,1400.00,SP,20.0000,200,2022-09-09,193,100000.00,115000.00,3,2,1,2,SOLTEIRO(A),NULL,N,0.00,11,315,120098.29,1065.00,Sim
322076750715,30,M,5000.00,MG,21.0000,48,2022-09-20,40,16000.00,18400.00,11,3,5,3,SOLTEIRO(A),NULL,N,0.00,1,11,10970.75,8830.66,Nao
322076751715,43,F,3000.00,MG,22.0000,180,2022-09-09,185,110000.00,126500.00,3,2,0,1,SOLTEIRO(A),NULL,N,0.00,11,315,134026.72,1864.71,Sim
322076753715,50,F,1500.00,MS,22.0000,80,2022-09-09,91,45000.00,51750.00,13,2,3,1,OUTRO,NULL,N,0.00,1,11,50049.31,5486.35,Nao
